ID,NAME,ADDR1,BORO,ZIP
465,K001 - P.S. 1 Bergen,309 47th Street,Brooklyn,11220
478,K016 - P.S. 16 Leonard Dunkly,157 Wilson Street,Brooklyn,11211
988,K043 - I.S. 98 Bay Academy,1401 Emmons Avenue,Brooklyn,11235
606,K055 - I.S. 55,2021 Bergen Street,Brooklyn,11233
3005,K071 - I.S. 71 Juan Morel Campos,215 Heyward Street,Brooklyn,11206
491,K088 - I.S. 88 Peter Rouget,544 7th Avenue,Brooklyn,11215
494,K094 - P.S. 94 Henry Longfellow,5010 6th Avenue,Brooklyn,11220
996,K097 - P.S. 97 Highlawn,1855 Stillwell Avenue,Brooklyn,11223
881,K126 - J.H.S 126 John Ericsson,424 Leonard Street,Brooklyn,11222
404,K131 - P.S. 131,4305 Fort Hamilton Parkway,Brooklyn,11219
421,K135 - P.S. 135 Sheldon A Brookner,684 Linden Boulevard,Brooklyn,11203
617,K138 - P.S. 138,760 Prospect Place,Brooklyn,11216
1004,K142 - P.S. 146,610 Henry Street,Brooklyn,11231
1310,K175 - Teacher's Prep High School,226 Bristol Street,Brooklyn,11212
1012,K179 - P.S. 179 Kensington,202 Avenue C,Brooklyn,11218
561,K181 - P.S. 181,1023 New York Avenue,Brooklyn,11203
568,K186 - P.S. 186 Dr. Irving A Gladstone,7601 19th Avenue,Brooklyn,11214
571,K196 - P.S. 196,207 Bushwick Avenue,Brooklyn,11206
474,K205 - P.S. 205 Clarion,6701 20th Avenue,Brooklyn,11204
479,K217 - P.S. 217 Colonel David Marcus,1100 Newkirk Avenue,Brooklyn,11230
1035,K219 - P.S. 219 Kennedy-King,1060 Clarkson Avenue,Brooklyn,11212
916,K222 - P.S. 222 Katherine Snyder,3301 Quentin Road,Brooklyn,11234
1039,K233 - P.S. 233 Langston Hughes,9301 Avenue B,Brooklyn,11236
1040,K234 - J.H.S. 234 Arthur W. Cunningham,1875 East 17th Street,Brooklyn,11229
508,K256 - P.S. 256 Benjamin Banneker,114 Kosciuszko Street,Brooklyn,11216
510,K258 - I.S. 258 David Ruggles,141 Macon Street,Brooklyn,11216
1060,K288 - P.S. 288 Shirley Tanyhill,2950 West 25th Street,Brooklyn,11224
926,K296 - I.S. 296 Halsey School,125 Covert Street,Brooklyn,11214
3010,K302 - J.H.S. 302 Rafael Cordero,350 Linwood Street,Brooklyn,11208
1062,K306 - P.S. 306 Ethan Allen,970 Vermont Street,Brooklyn,11207
3011,K313 - Adams Street Campus,283 Adams Street,Brooklyn,11201
463,K314 - P.S. 314,330 59th Street,Brooklyn,11220
515,K324 - I.S. 324,800 Gates Avenue,Brooklyn,11221
872,K345 - P.S. 345 Robert Boldon,111 Berriman Street,Brooklyn,11208
528,K395 - P.S. 109,1001 East 45th Street,Brooklyn,11203
930,K400 - Lafayette High School,2630 Benson Avenue,Brooklyn,11219
931,K410 - Abraham Lincoln High School,2800 Ocean Parkway,Brooklyn,11235
886,K420 - Franklin K. Lane High School,999 Jamaica Avenue,Brooklyn,11208
934,K446 - New Utrecht High School,1601 80th Street,Brooklyn,11214
579,K460 - John Jay High School,237 7th Avenue,Brooklyn,11215
580,K465 - Erasmus High School,911 Flatbush Avenue,Brooklyn,11226
581,K470 - George Wingate Educational Campus,600 Kingston Avenue,Brooklyn,11203
935,K480 - Bushwick Educational Campus,400 Irving Avenue,Brooklyn,11237
584,K486 - I.S. 187 Christa McAuliffe School,1171 65th Street,Brooklyn,11219
936,K490 - Fort Hamilton High School,8301 Shore Road,Brooklyn,11209
1069,K495 - Sheepshead Bay High School,3000 Avenue X,Brooklyn,11235
937,K500 - Canarsie High School,1600 Rockaway Parkway,Brooklyn,11236
938,K515 - South Shore Educational Campus,6565 Flatlands Avenue,Brooklyn,11236
939,K525 - Edward R. Murrow High School,1600 Avenue L,Brooklyn,11230
534,K580 - George Westinghouse Vocational HS,105 Johnson Street,Brooklyn,11201
587,K600 - Clara Barton High School,901 Classon Avenue,Brooklyn,11225
342,M025 - Marta Valle Secondary School,145 Stanton Street,Manhattan,10002
267,M028 - P.S. 28 Wright Brothers,475 West 155th Street,Manhattan,10032
1107,M033 - P.S. 33 Chelsea Prep,281 9th Avenue,Manhattan,10001
1109,M040 - P.S. 040 Augustus Saint-Gaudens,319 East 19th Street,Manhattan,10003
1322,M041 - P.S. 041 Greenwich Village,116 West 11th Street,Manhattan,10011
263,M044 - J.H.S. M044 William J. O'Shea,100 West 77th Street,Manhattan,10024
1311,M052 - I.S. 52 Inwood,650 Academy Street,Manhattan,10034
1122,M064 - Tompkins Square Middle School,600 East 6th Street,Manhattan,10009
1129,M083 - P.S. 83,219 East 109th Street,Manhattan,10029
353,M088 - Wadleigh Campus/I.S. 88,215 West 114 Street,Manhattan,10026
1131,M089 - P.S. 89,201 Warren Street,Manhattan,10282
355,M090 - I.S. 90 Mirabel Sisters School,21 Jumel Place,Manhattan,10032
356,M092 - P.S. 92 Mary McLeod Bethune,222 West 134th Street,Manhattan,10030
377,M111 - P.S. 111 Adolph S Ochs,440 West 53rd Street,Manhattan,10019
1414,M118 - I.S. 118,154 West 93rd Street,Manhattan,10025
393,M134 - PS 134 Henrietta Szold,293 East Broadway,Manhattan,10002
1149,M142 - P.S. 142 Amalia Castro,100 Attorney Street,Manhattan,10002
396,M143 - J.H.S. 143 Eleanor Roosevelt,511 West 182nd Street,Manhattan,10033
391,M153 - P.S. 153 Adam Clayton Powell,1750 Amsterdam Avenue,Manhattan,10031
864,M165 - P.S. 165,234 West 109th Street,Manhattan,10025
410,M167 - I.S. 167 Robert Wagner,220 East 76th Street,Manhattan,10021
420,M183 - P.S. 183 Robert L. Stevenson,419 East 66th Street,Manhattan,10021
1162,M195 - Terrance Tolbert Educational Complex,625 West 133rd Street,Manhattan,10027
1164,M198 - P.S. 77 Lower Lab School,1700 3rd Avenue,Manhattan,10128
427,M199 - P.S. 199 Jessie Isador Straus,270 West 70th Street,Manhattan,10023
435,M465 - George Washington High School,549 Audubon Avenue,Manhattan,10040
436,M470 - Louis D. Brandeis High School,145 West 84th Street,Manhattan,10024
865,M535 - Park West High School,525 West 50th Street,Manhattan,10019
107,Q005 - I.S. 5 Walter Crowley,50-40 Jacobus Street,Queens,11373
109,Q012 - P.S. 12 James B Colgate,42-00 72nd Street,Queens,11377
110,Q013 - P.S. 13 Clement C Moore,55-01 94th Street,Queens,11373
54,Q017 - P.S. 17 Henry David Thoreau,28-37 29th Street,Queens,11102
56,Q020 - PS 20 John Bowne,142-30 Barclay Avenue,Queens,11355
58,Q022 - P.S. 22 Thomas Jefferson,153-55 Sanford Ave,Queens,11355
60,Q025 - I.S. 25 Adrien Block,34-65 192nd Street,Queens,11358
1197,Q036 - P.S. 36 Saint Albans,187-01 Foch Boulevard,Queens,11412
1206,Q053 - M.S. 53 Brian Piccolo,10-45 Nameoke Street,Queens,11691
73,Q060 - P.S. 60 Woodhaven,91-02 88th Avenue,Queens,11421
74,Q061 - I.S. 61 Leonardo DaVinci,98-50 50th Avenue,Queens,11368
75,Q062 - P.S. 62 Chester Park,97-25 108th Street,Queens,11419
128,Q067 - J.H.S. 67 Louis Pasteur,51-60 Marathon Parkway,Queens,11362
76,Q069 - P.S. 69 Jackson Heights,77-02 37th Avenue,Queens,11372
77,Q070 - P.S. 70,30-45 42nd Street,Queens,11103
78,Q073 - I.S. 73 Frank Sansiveiri,70-02 54th Avenue,Queens,11378
139,Q109 - I.S. 109 Jean Nuzzi,213-10 92nd Avenue,Queens,11428
143,Q117 - P.S. 117 J. Keld / Briarwood School,85-15 143rd Street,Queens,11435
167,Q121 - P.S. 121,126-10 109th Avenue,Queens,11420
168,Q125 - I.S. 125 Thomas J. McCann Woodside,46-02 47th Avenue,Queens,11377
671,Q138 - P.S. 138 The Sunrise School,251-11 Weller Avenue,Queens,11422
170,Q139 - P.S. 139 Rego Park,93-06 63rd Drive,Queens,11374
173,Q145 - I.S. 145 Joseph Pulitzer,33-34 80th Street,Queens,11372
220,Q185 - J.H.S. 185 Edward Bleeker,147-26 25th Drive,Queens,11354
104,Q210 - I.S. 210 Elizabeth Blackwell,93-11 101st Avenue,Queens,11416
1257,Q214 - P.S. 214 Cadwallader Colden,31-15 140th Street,Queens,11354
673,Q226 - I.S. 226 Virgil I. Grissom ,121-10 Rockaway Boulevard,Queens,11420
233,Q227 - I.S. 227 Louis Armstrong,32-02 Junction Boulevard,Queens,11369
244,Q237 - I.S. 237 Rachel Carson Intermediate School,46-21 Colden Street,Queens,11355
245,Q238 - I.S. 238 Susan B. Anthony,88-15 182nd Street,Queens,11423
3029,Q260 - P.S. 307 Pioneer Academy,40-20 100th Street,Queens,11368
843,Q400 - August Martin High School,156-10 Baisley Boulevard,Queens,11434
899,Q405 - Bayside High School,32-42 Corporal Kennedy Street,Queens,11361
844,Q410 - Beach Channel Educational Campus,100-00 Beach Channel Drive,Queens,11694
887,Q415 - Benjamin N. Cardozo High School,57-00 223rd Street,Queens,11364
676,Q420 - Springfield Gardens Educational Campus,143-10 Springfield Boulevard,Queens,11413
888,Q425 - John Bowne High School,63-25 Main Street,Queens,11367
889,Q430 - Francis Lewis High School,58-20 Utopia Parkway,Queens,11365
892,Q435 - Martin Van Buren High School,230-17 Hillside Avenue,Queens,11427
893,Q440 - Forest Hills High School,67-01 110th Street,Queens,11375
898,Q480 - John Adams High School,101-01 Rockaway Boulevard,Queens,11417
259,Q485 - Grover Cleveland High School,21-27 Himrod Street,Queens,11385
900,Q505 - Hillcrest High School,160-05 Highland Avenue,Queens,11432
260,Q610 - Aviation High School,45-30 36th Street,Queens,11101
3030,Q686 - Queens Metropolitan H.S.,91-30 Metropolitan Avenue,Queens,11375
91,Q849 - I.S. 77,976 Seneca Avenue,Queens,11385
649,R002 - I.S. 2 George Egbert ,333 Midland Avenue,Staten Island,10306
17,R024 - I.S. 24 Myra Barnes,225 Cleveland Avenue,Staten Island,10308
18,R027 - I.S. 27 Anning S. Prall,11 Clove Lake Place,Staten Island,10310
32,R051 - I.S. 51 Edwin Markham,20 Houston Street,Staten Island,10302
36,R058 - P.S. 58 Space Shuttle Columbia School,77 Marsh Avenue,Staten Island,10314
38,R061 - I.S. 61 William A. Morris,445 Castleton Avenue,Staten Island,10301
1447,R080 - P.S. 80 Michael J. Petrides School,715 Ocean Terrace,Staten Island,10301
3032,R445 - Port Richmond H.S.,85 St Joseph's Avenue,Staten Island,10302
44,R455 - Tottenville High School,100 Luten Avenue,Staten Island,10312
3033,R605 - Staten Island Technical High School,485 Clawson Street,Staten Island,10306
207,X025 - P.S. 25,811 East 149th Street,Bronx,10455
208,X026 - P.S. 396,1930 Andrews Avenue,Bronx,10453
852,X079 - P.S. 79 Creston,125 East 181st Street,Bronx,10453
364,X080 - J.H.S. 80 Mosholu Parkway,149 East Mosholu Parkway North,Bronx,10467
428,X102 - P.S. 102 Joseph O Loretan,1827 Archer Street,Bronx,10460
432,X103 - P.S. 103 Hector Fontanez,4125 Carpenter Avenue,Bronx,10466
507,X113 - I.S. 113,3710 Barnes Avenue,Bronx,10467
511,X116 - I.S. 116 Rafael Hernandez,977 Fox Street,Bronx,10459
625,X127 - I.S. 127 Castle Hill,1560 Purdy Street,Bronx,10462
1367,X141 - M.S. / H.S. 141,660 West 237th Street,Bronx,10463
651,X144 - J.H.S. 144 Michelangelo,2545 Gunther Avenue,Bronx,10469
633,X147 - I.S. 313 / I.S. 339 ,1600 Webster Avenue,Bronx,10457
652,X151 - I.S. 151 Henry Lou Gehrig,250 East 156th Street,Bronx,10451
281,X166 - J.H.S. 166 Roberto Clemente,250 East 164th Street,Bronx,10456
3037,X167 - P.S. 214,1970 West Farms Road,Bronx,10460
653,X192 - I.S. 192 Piagentini-Jones,650 Hollywood Avenue,Bronx,10465
292,X235 - P.S. 218 Rafael Hernandez Dual Language,1220 Gerard Avenue,Bronx,10452
2084,X306 - P.S. 306,40 West Tremont Avenue,Bronx,10453
3038,X362 - I.S. / H.S. 362 ,921 East 228th Street,Bronx,10466
298,X400 - Morris High School,1110 Boston Road,Bronx,10456
654,X405 - Herbert Lehman High School,3000 East Tremont Avenue,Bronx,10461
299,X410 - William H Taft H.S.,240 East 172nd Street,Bronx,10457
303,X430 - Walton Educational School,2780 Reservoir Avenue,Bronx,10468
