LOCCODE,TYPE,BOROUGH,NAME,NOTE,PHONE,ADDRESS,ZIP,DAY_LENGTH,PREK_SEATS,3K_SEATS,EL_SEATS,X,Y,EMAIL,WEBSITE,MEALS,INDOOR_OUTDOOR,SEMS_CODE,BUTTON_TYPE,START_TIME,EARLY_DROP,LATE_PICKUP,ENHANCED_LANG,FLEX_SCHED,SPED_FLG,INCOME_FLG,SPECIAL_PRIOR,DYNAMIC
01M015,DOE,M,P.S. 15 Roberto Clemente,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-228-8730,333 East 4th Street,10009,1,18,,,990123,202281,LSalmon@schools.nyc.gov,https://www.PS15.org,2,3,01M015,info,8:40:00 AM,0,0,0,0,0,0,,
01M019,DOE,M,P.S. 19 Asher Levy,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-533-5340,185 First Avenue,10003,1,18,,,988634,205140,jflanagan@schools.nyc.gov,http://schools.nyc.gov/schoolportals/01/m019,3,3,01M019,info,8:00:00 AM,0,0,0,0,0,0,,
01M020,DOE,M,P.S. 20 Anna Silver,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-254-9577,166 Essex Street,10002,1,54,,,988025,202056,spinto4@schools.nyc.gov,https://ps20m.org,3,3,01M020,info,8:20:00 AM,0,1,102,0,0,0,,
01M034,DOE,M,P.S. 34 Franklin D. Roosevelt,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-228-4433,730 East 12th Street,10009,1,18,,,991118,203875,aloukatos@schools.nyc.gov,http://schools.nyc.gov/schoolportals/01/m034,3,3,01M034,info,,0,0,0,0,0,0,,
01M063,DOE,M,The STAR Academy - P.S. 63,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-674-3180,121 East 3rd Street,10009,1,36,,,988036,203208,dcameron2@schools.nyc.gov,https://staracademyps63.com,3,3,01M063,info,8:15:00 AM,1,1,0,0,0,0,,
01M064,DOE,M,P.S. 64 Robert Simon,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-673-6510,600 East 6th Street,10009,1,36,,,989364,203121,mhosang@schools.nyc.gov,http://schools.nyc.gov/schoolportals/01/m064,3,3,01M064,info,8:20:00 AM,0,1,0,0,0,0,,
01M110,DOE,M,P.S. 110 Florence Nightingale,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-674-2690,285 Delancy Street,10002,1,36,,,989803,199925,KFeuer@schools.nyc.gov,https://ps110pta.org,2,3,01M110,info,8:20:00 AM,0,1,0,0,0,0,,
01M134,DOE,M,P.S. 134 Henrietta Szold,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-673-4470,293 East Broadway,10002,1,36,,,988696,199514,dkim@schools.nyc.gov,http://schools.nyc.gov/schoolportals/01/m134,2,3,01M134,info,8:15:00 AM,0,0,0,0,0,0,,
01M140,DOE,M,P.S. 140 Nathan Straus,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-677-4680,123 Ridge Street,10002,1,18,,,988831,201263,mrodrig19@schools.nyc.gov,http://schools.nyc.gov/schoolportals/01/m140,3,7,01M140,info,8:00:00 AM,0,1,0,0,0,0,,
01M142,DOE,M,P.S. 142 Amalia Castro,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-598-3800,100 Attorney Street,10002,1,54,,,988655,200914,jmunoz8@schools.nyc.gov,https://ps142m.org,2,3,01M142,info,8:20:00 AM,1,1,0,0,0,0,,
01M184,DOE,M,P.S. 184 Shuang Wen,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-602-9700,327 Cherry Street,10002,1,36,,,988196,198439,MJu2@schools.nyc.gov,https://ps184m.org,2,3,01M184,info,8:20:00 AM,1,1,0,0,0,0,,
