Park,Site,Boro,Date,Times
Prospect Park,GAP,BK,2-May,10AM-12PM
Prospect Park,Bartel Lot,BK,2-May,10AM-12PM
Prospect Park,Park Circle,BK,2-May,2PM-4PM
McCarren Park,Rec Center,BK,4-May,10AM-12PM
Betsy Head Park,BK,BK,4-May,10AM-12PM
Sunset Park,,BK,4-May,2PM-4PM
Maria Hernandez Park,,BK,4-May,2PM-4PM
Coffey Park,,BK,4-May,2PM-4PM
St. Johns Park,Rec Center,BK,5-May,10AM-12PM
Saratoga Park,,BK,5-May,2PM-4PM
Linden Park,,BK,5-May,10AM-12PM
Wingate Park,,BK,5-May,2PM-4PM
Crotona Park,Pool,BX,2-May,10AM-12PM
Crotona Park,Tennis,BX,2-May,10AM-12PM
Crotona Park,TBD,BX,2-May,2PM-4PM
Rainey Park,,BX,4-May,10AM-12PM
Soundview Park,,BX,4-May,2PM-4PM
Rose Hill Park,,BX,4-May,10AM-12PM
St. James Park,Rec Center,BX,5-May,10AM-12PM
St. Marys Park,Rec Center,BX,5-May,2PM-4PM
Williamsbridge Oval,,BX,5-May,10AM-12PM
Mullaly Park,,BX,5-May,2PM-4PM
Poe Park,,BX,5-May,10AM-12PM
Central Park,Tavern Lot,MN,2-May,10AM-12PM
Central Park,100 St,MN,2-May,10AM-12PM
Central Park,LenoxRamp,MN,2-May,2PM-4PM
Alfred E. Smith,Rec Center,MN,3-May,10AM-12PM
J. Hood Wright,Rec Center,MN,3-May,2PM-4PM
Hansborough PArk,,MN,4-May,10AM-12PM
East River Park,,MN,4-May,10AM-12PM
Morningside Park,,MN,4-May,2PM-4PM
DeWitt Clinton Park,,MN,5-May,10AM-12PM
Asser Levy,Rec Center,MN,5-May,2PM-4PM
Highbridge Park,Rec Center,MN,5-May,10AM-12PM
South Beach,,SI,2-May,10AM-12PM
Midland Beach,Splaza,SI,3-May,10AM-12PM
The Big Park,,SI,4-May,10AM-12PM
High Rock/Nature Center,,SI,4-May,2PM-4PM
Willowbrook,,SI,4-May,10AM-12PM
Corpl. Thompson,,SI,4-May,2PM-4PM
Bloomingdale Park,,SI,5-May,10AM-12PM
Clove Lakes,,SI,5-May,2PM-4PM
Wolfe Pond,,SI,5-May,10AM-12PM
Conf. House Park,,SI,5-May,2PM-4PM
Astoria Park,,QNS,2-May,10AM-12PM
Flushing Meadows,Dinkins Circle,QNS,2-May,10AM-12PM
Flushing Meadows,Corona Golf Plgd,QNS,2-May,10AM-12PM
Flushing Meadows,NYS Pavilion,QNS,2-May,2PM-4PM
Daniel O'Connell Plgd.,,QNS,4-May,10AM-12PM
Redfern Plgd.,,QNS,4-May,2PM-4PM
Springfield Park,,QNS,4-May,10AM-12PM
Baisley Pond Park,,QNS,4-May,2PM-4PM
Sorrentino,Rec Center,QNS,5-May,10AM-12PM
Lost Battalion Hall,Rec Center,QNS,5-May,2PM-4PM
Mauro Plgd,,QNS,5-May,2PM-4PM
Queensbridge Park,,QNS,5-May,10AM-12PM
