x,y,type,name,address,borough,zip,phone
996604,187904,DOE,P.S. 003 The Bedford Village,50 Jefferson Ave,K,11216,718-622-2960
1019458,190490,DOE,P.S. 007 Abraham Lincoln,858 Jamaica Ave,K,11208,718-647-3600
993685,189033,DOE,P.S. 011 Purvis J Behan,419 Waverly Ave,K,11238,718-638-2661
1013831,181130,DOE,P.S. 013 Roberto Clemente,557 Pennsylvania Ave,K,11207,718-498-3717
994790,196466,DOE,P.S. 016 Leonard Dunkly,157 Wilson St,K,11211,718-782-5352
998970,198249,DOE,P.S. 018 Edward Bush,101 Maujer St,K,11206,718-387-3241
1004755,187212,DOE,P.S. 021 Crispus Attucks,180 Chauncey St,K,11233,718-493-9681
982972,177112,DOE,P.S. 024,427 38 St,K,11232,718-832-9366
1003289,191351,DOE,P.S. 026 Jesse Owens,1014 Lafayette Ave,K,11221,718-919-5707
984883,189545,DOE,P.S. 029 John M Harrigan,425 Henry St,K,11201,718-330-9277
986550,187189,DOE,P.S. 032 Samuel Mills Sprole,317 Hoyt St,K,11231,718-222-6400
988968,188868,DOE,P.S. 038 The Pacific,450 Pacific St,K,11217,718-330-9305
1005913,187134,DOE,P.S. 040 George W Carver,265 Ralph Ave,K,11233,718-574-2353
1009081,189447,DOE,P.S. 045 Horace E Greene,84 Schaefer St,K,11207,718-642-5360
987776,165729,DOE,P.S. 048 Mapleton,6015 18 Ave,K,11204,718-232-3873
997373,191615,DOE,P.S. 054 Samuel C Barnes,195 Sanford St,K,11205,718-834-6752
985512,187171,DOE,P.S. 058 The Carroll,330 Smith St,K,11231,718-330-9322
1010047,175668,DOE,P.S. 66,845 East 96 St,K,11236,718-922-3505
1006134,191822,DOE,P.S. 075 Mayda Cortiella,95 Grv St,K,11221,718-574-0244
994436,199724,DOE,P.S. 084 Jose De Diego,250 Berry St,K,11211,718-384-8063
989819,149880,DOE,P.S. 90 Edna Cohen School,2840 West 12 St,K,11224,718-787-3333
996990,178353,DOE,P.S. 092 Adrian Hegeman,601 Parkside Ave,K,11226,718-462-2087
991224,156323,DOE,P.S. 095 The Gravesend,345 Van Sicklen St,K,11223,718-449-5050
993722,165704,DOE,P.S. 099 Isaac Asimov,1120 East 10 St,K,11230,718-338-9201
1008466,192021,DOE,P.S. 106 Edward Everett Hale,1328 Putnam Ave,K,11221,718-574-0261
1002852,171265,DOE,P.S. 109,1001 East 45 St,K,11203,718-693-3426
983812,164596,DOE,P.S. 112 Lefferts Park,7301 15 Ave,K,11228,718-232-0685
1012677,170592,DOE,P.S. 115 Daniel Mucatel School,1500 East 92 St,K,11236,718-241-1000
1001254,167364,DOE,P.S. 119 Amersfort,3829 Ave K,K,11210,718-377-7696
990132,166212,DOE,P.S. 121 Nelson A Rockefeller,5301 20 Ave,K,11204,718-377-8845
986830,182462,DOE,P.S. 124 Silas B Dutcher,515 4 Ave,K,11215,718-788-0246
990932,175699,DOE,P.S. 130 The Parkside,70 Ocean Pkwy,K,11218,718-686-1940
999251,199688,DOE,P.S. 132 The Conselyea School,320 Manhattan Ave,K,11211,718-599-7301
1002848,177315,DOE,P.S. 135 Sheldon A Brookner,684 Linden Blvd,K,11203,718-693-4363
997749,184891,DOE,P.S. 138 Brooklyn,760 Prospect Pl,K,11216,718-467-0800
1003047,194870,DOE,P.S. 145 Andrew Jackson,100 Noll St,K,11206,718-821-4823
1001203,196190,DOE,P.S. 147 Isaac Remsen,325 Bushwick Ave,K,11206,718-497-0326
1009676,191905,DOE,P.S. 151 Lyndon B Johnson,763 Knickerbocker Ave,K,11207,718-326-6360
995364,158309,DOE,P.S. 153 Homecrest,1970 Homecrest Ave,K,11229,718-375-4484
1006944,181831,DOE,P.S. 156 Waverly,104 Sutter Ave,K,11212,718-498-2811
1016131,184337,DOE,P.S. 158 Warwick,400 Ashford St,K,11207,718-277-6116
988177,171416,DOE,P.S. 164 Caesar Rodney,4211 14 Ave,K,11219,718-854-4100
984158,178921,DOE,P.S. 172 Beacon School Of Excellence,825 4 Ave,K,11232,718-965-4200
1007728,185292,DOE,P.S. 178 St. Clair Mckelway,2163 Dean St,K,11233,718-495-7768
987136,167594,DOE,The Seeall Academy,5601 16 Ave,K,11204,718-851-8070
995368,198597,CHARTER,Success Academy Charter School - Williamsburg Pre - Kindergarten,183 South 3rd St,K,11211,718-704-1419
985747,161927,DOE,P.S. 186 Dr. Irving A Gladstone,7601 19 Ave,K,11214,718-236-7071
1013461,180625,DOE,P.S. 190 Sheffield,590 Sheffield Ave,K,11207,718-346-8780
989832,168445,DOE,P.S. 192 - The Magnet School For Math And Science Inquiry,4715 18 Ave,K,11204,718-633-3061
1002569,156858,DOE,P.S. 194 Raoul Wallenberg,3117 Ave W,K,11229,718-648-8804
1000961,197506,DOE,P.S. 196 Ten Eyck,207 Bushwick Ave,K,11206,718-497-0139
1001725,171434,DOE,P.S. 198 Brooklyn,4105 Farragut Rd,K,11210,718-282-4920
983788,158980,DOE,P.S. 200 Benson School,1940 Benson Ave,K,11214,718-236-5466
1004878,165792,DOE,P.S. 203 Floyd Bennett School,5101 Ave M,K,11234,718-241-8488
987836,163315,DOE,P.S. 205 Clarion,6701 20 Ave,K,11204,718-236-2380
1003637,162866,DOE,P.S. 207 Elizabeth G Leary,4011 Fillmore Ave,K,11234,718-645-8667
994897,153044,DOE,P.S. 209 Margaret Mead,2609 East 7 St,K,11235,718-743-1954
1014692,179849,DOE,P.S. 213 New Lots,580 Hegeman Ave,K,11207,718-257-4034
992559,158723,DOE,P.S. 215 Morris H Weiss,415 Ave S,K,11223,718-339-2464
993573,170160,DOE,P.S. 217 Colonel David Marcus School,1100 Newkirk Ave,K,11230,718-434-6960
1001983,181168,DOE,P.S. 221 Toussaint L'Ouverture,791 Empire Blvd,K,11213,718-756-0122
1021434,181544,DOE,P.S. 224 Hale A Woodruff,757 Wortman Ave,K,11208,718-235-3600
990693,163416,DOE,P.S. 226 Alfred De Bmason,6006 23 Ave,K,11204,718-234-4940
989675,174378,DOE,P.S. 230 Doris L Cohen,1 Albemarle Rd,K,11218,718-437-6135
1000654,177895,DOE,P.S. 235 Lenox School,525 Lenox Rd,K,11203,718-773-4869
994024,161069,DOE,P.S. 238 Anne Sullivan,1633 East 8 St,K,11223,718-339-4355
1002118,185508,DOE,P.S. 243k - The Weeksville School,1580 Dean St,K,11213,718-604-6909
994541,174249,DOE,P.S. 245,249 East 17th St,K,11226,718-284-2330
993590,175985,DOE,P.S. 249 The Caton,18 Marlborough Rd,K,11226,718-282-8828
1005337,169271,DOE,P.S. 251 Paerdegat,1037 East 54 St,K,11234,718-251-4110
997727,154490,DOE,P.S. 254 Dag Hammarskjold,1801 Ave Y,K,11235,718-743-0890
998224,190889,DOE,P.S. 256 Benjamin Banneker,114 Kosciusko St,K,11216,718-857-9820
987504,189641,DOE,P.S. 261 Philip Livingston,314 Pacific St,K,11201,718-330-9275
