loccode,x,y,prek_type,name,address,borough,zip,phone
K001,980985,175780,DOE,P.S. 001 The Bergen,309 47 St,K,11220,718-567-7661
K003,996604,187904,DOE,P.S. 003 The Bedford Village,50 Jefferson Ave,K,11216,718-622-2960
K005,1005773,189031,DOE,P.S. 005 Dr. Ronald Mcnair,820 Hancock St,K,11233,718-574-2333
K007,1019458,190490,DOE,P.S. 007 Abraham Lincoln,858 Jamaica Ave,K,11208,718-647-3600
K009,993700,186368,DOE,P.S. 009 Teunis G Bergen,80 Underhill Ave,K,11238,718-638-3260
K011,993685,189033,DOE,P.S. 011 Purvis J Behan,419 Waverly Ave,K,11238,718-638-2661
K012,1006488,184472,DOE,Dr. Jacqueline Peek - Davis School,430 Howard Ave,K,11233,718-953-4569
K013,1013831,181130,DOE,P.S. 013 Roberto Clemente,557 Pennsylvania Ave,K,11207,718-498-3717
K015,981053,185943,DOE,P.S. 015 Patrick F Daly,71 Sullivan St,K,11231,718-330-9280
K016,994790,196466,DOE,P.S. 016 Leonard Dunkly,157 Wilson St,K,11211,718-782-5352
K017,996201,199850,DOE,P.S. 017 Henry D Woodworth,208 North 5 St,K,11211,718-387-2929
K018,998970,198249,DOE,P.S. 018 Edward Bush,101 Maujer St,K,11206,718-387-3241
K020,992270,190980,DOE,P.S. 020 Clinton Hill,225 Adelphi St,K,11205,718-834-6744
K021,1004755,187212,DOE,P.S. 021 Crispus Attucks,180 Chauncey St,K,11233,718-493-9681
K023,998775,192219,DOE,P.S. 023 Carter G Woodson,545 Willoughby Ave,K,11206,718-387-0375
K024,982972,177112,DOE,P.S. 024,427 38 St,K,11232,718-832-9366
K025,1000753,191155,DOE,P.S. 025 Eubie Blake School,787 Lafayette Ave,K,11221,718-574-2336
K026,1003289,191351,DOE,P.S. 026 Jesse Owens,1014 Lafayette Ave,K,11221,718-919-5707
K028,1006403,186449,DOE,P.S. 028 The Warren Prep Academy,1001 Herkimer St,K,11233,718-467-2865
K029,984883,189545,DOE,P.S. 029 John M Harrigan,425 Henry St,K,11201,718-330-9277
K031,996979,204091,DOE,P.S. 031 Samuel F Dupont,75 Meserole Ave,K,11222,718-383-8998
K032,986550,187189,DOE,P.S. 032 Samuel Mills Sprole,317 Hoyt St,K,11231,718-222-6400
K034,998184,203901,DOE,P.S. 034 Oliver H Perry,131 Norman Ave,K,11222,718-389-5842
K038,988968,188868,DOE,P.S. 038 The Pacific,450 Pacific St,K,11217,718-330-9305
K039,988958,182905,DOE,P.S. 039 Henry Bristow,417 6 Ave,K,11215,718-330-9310
K040,1005913,187134,DOE,P.S. 040 George W Carver,265 Ralph Ave,K,11233,718-574-2353
K044,1000624,189327,DOE,P.S. 044 Marcus Garvey,432 Monroe St,K,11221,718-834-6939
K045,1009081,189447,DOE,P.S. 045 Horace E Greene,84 Schaefer St,K,11207,718-642-5360
K046,992161,192247,DOE,P.S. 046 Edward C Blum,100 Clermont Ave,K,11205,718-834-7694
K048,987776,165729,DOE,P.S. 048 Mapleton,6015 18 Ave,K,11204,718-232-3873
K052,1000858,153397,DOE,P.S. 052 Sheepshead Bay,2675 East 29 St,K,11235,718-648-0882
K054,997373,191615,DOE,P.S. 054 Samuel C Barnes,195 Sanford St,K,11205,718-834-6752
K056,995211,188782,DOE,P.S. 056 Lewis H Latimer,170 Gates Ave,K,11238,718-857-3149
K058,985512,187171,DOE,P.S. 058 The Carroll,330 Smith St,K,11231,718-330-9322
K059,999930,193336,DOE,P.S. 059 William Floyd,211 Throop Ave,K,11206,718-443-3600
K066,1010047,175668,DOE,P.S. 66,845 East 96 St,K,11236,718-922-3505
K067,990385,192610,DOE,P.S. 067 Charles A Dorsey,51 Saint Edwards St,K,11205,718-834-6756
K075,1006134,191822,DOE,P.S. 075 Mayda Cortiella,95 Grv St,K,11221,718-574-0244
K081,1002239,191774,DOE,P.S. 081 Thaddeus Stevens,990 Dekalb Ave,K,11221,718-574-2365
K084,994436,199724,DOE,P.S. 084 Jose De Diego,250 Berry St,K,11211,718-384-8063
K089,1015669,186210,DOE,P.S. 089 Cypress Hills,265 Warwick St,K,11207,718-964-1180
K090,989819,149880,DOE,P.S. 90 Edna Cohen School,2840 West 12 St,K,11224,718-787-3333
K091,1000834,180404,DOE,P.S. 091 The Albany Avenue School,532 Albany Ave,K,11203,718-756-0243
K092,996990,178353,DOE,P.S. 092 Adrian Hegeman,601 Parkside Ave,K,11226,718-462-2087
K093,999087,186633,DOE,P.S. 093 William H Prescott,31 New York Ave,K,11216,718-604-7363
K095,991224,156323,DOE,P.S. 095 The Gravesend,345 Van Sicklen St,K,11223,718-449-5050
K097,988205,158329,DOE,P.S. 97 The Highlawn,1855 Stillwell Ave,K,11223,718-372-1800
K099,993722,165704,DOE,P.S. 099 Isaac Asimov,1120 East 10 St,K,11230,718-338-9201
K100,992317,149702,DOE,P.S. 100 The Coney Island School,2951 West 3 St,K,11224,718-266-9477
K106,1008466,192021,DOE,P.S. 106 Edward Everett Hale,1328 Putnam Ave,K,11221,718-574-0261
K108,1016343,187503,DOE,P.S. 108 Sal Abbracciamento,200 Linwood St,K,11208,718-277-7010
K109,1002852,171265,DOE,P.S. 109,1001 East 45 St,K,11203,718-693-3426
K110,1000314,202930,DOE,P.S. 110 The Monitor,124 Monitor St,K,11222,718-383-7600
K112,983812,164596,DOE,P.S. 112 Lefferts Park,7301 15 Ave,K,11228,718-232-0685
K114,1009741,173411,DOE,P.S. 114 Ryder Elementary,1077 Remsen Ave,K,11236,718-257-4428
K115,1012677,170592,DOE,P.S. 115 Daniel Mucatel School,1500 East 92 St,K,11236,718-241-1000
K118,987659,183768,DOE,The Maurice Sendak Community School,211 8th St,K,11215,718-840-5660
K119,1001254,167364,DOE,P.S. 119 Amersfort,3829 Ave K,K,11210,718-377-7696
K120,1001511,194534,DOE,P.S. 120 Carlos Tapia,18 Beaver St,K,11206,718-455-1000
K121,990132,166212,DOE,P.S. 121 Nelson A Rockefeller,5301 20 Ave,K,11204,718-377-8845
K123,1005736,195753,DOE,P.S. 123 Suydam,100 Irving Ave,K,11237,718-821-4810
K124,986830,182462,DOE,P.S. 124 Silas B Dutcher,515 4 Ave,K,11215,718-788-0246
K129,986088,188932,CHARTER,Success Academy Charter School - Cobble Hill Pre - Kindergarten,284 Baltic St,K,11201,718-704-1460
K130,990932,175699,DOE,P.S. 130 The Parkside,70 Ocean Pkwy,K,11218,718-686-1940
K131,986096,172731,DOE,P.S. 131 Brooklyn,4305 Ft Hamilton Pkwy,K,11219,718-431-1960
K132,999251,199688,DOE,P.S. 132 The Conselyea School,320 Manhattan Ave,K,11211,718-599-7301
K133,989651,187141,DOE,P.S. 133 William A Butler,610 Baltic St,K,11217,718-398-5320
K135,1002848,177315,DOE,P.S. 135 Sheldon A Brookner,684 Linden Blvd,K,11203,718-693-4363
K137,1007348,187847,DOE,P.S. / I.S. 137 Rachel Jean Mitchell,121 Saratoga Ave,K,11233,718-453-2926
K138,997749,184891,DOE,P.S. 138 Brooklyn,760 Prospect Pl,K,11216,718-467-0800
K139,993758,172958,DOE,P.S. 139 Alexine A Fenty,330 Rugby Rd,K,11226,718-282-5254
K145,1003047,194870,DOE,P.S. 145 Andrew Jackson,100 Noll St,K,11206,718-821-4823
K146,983782,186982,DOE,P.S. 146,610 Henry St,K,11231,718-923-4750
K147,1001203,196190,DOE,P.S. 147 Isaac Remsen,325 Bushwick Ave,K,11206,718-497-0326
K149,1013999,183181,DOE,P.S. 149 Danny Kaye,700 Sutter Ave,K,11207,718-385-8666
K151,1009676,191905,DOE,P.S. 151 Lyndon B Johnson,763 Knickerbocker Ave,K,11207,718-326-6360
K152,996920,169771,DOE,School Of Science & Technology,725 East 23 St,K,11210,718-434-5222
K153,995364,158309,DOE,P.S. 153 Homecrest,1970 Homecrest Ave,K,11229,718-375-4484
K155,1009570,186160,DOE,P.S. / I.S. 155 Nicholas Herkimer,1355 Herkimer St,K,11233,718-495-7751
